"Year","State","Percent of bachelor's degree or higher","Percentage of cig user","Percentage of E-cig user","E-cig existence","E-cig ratio"
2016,"Michigan",NA,22.9545454545455,5.08181818181818,TRUE,0.181258106355383
2016,"Minnesota",NA,17.3954545454545,3.83181818181818,TRUE,0.18051391862955
2016,"Mississippi",NA,23.34,4.63,TRUE,0.165534501251341
2016,"Missouri",NA,24.3909090909091,5.49545454545455,TRUE,0.183878326996198
2016,"Montana",NA,22.2,4.375,TRUE,0.164628410159925
2016,"Nebraska",NA,19.2727272727273,5.51818181818182,TRUE,0.222588925559223
2016,"Nevada",NA,16.6954545454545,6.62727272727273,TRUE,0.284155135451179
2016,"New Hampshire",NA,20.58,5.795,TRUE,0.219715639810427
2016,"New Jersey",NA,14.6047619047619,3.76666666666667,TRUE,0.205028512182478
2016,"New Mexico",NA,17.7666666666667,5.09523809523809,TRUE,0.222870235367632
2016,"New York",NA,14.7227272727273,4.04545454545455,TRUE,0.215548558973117
2016,"North Carolina",NA,18.6136363636364,4.07272727272727,TRUE,0.179523141654979
2016,"North Dakota",NA,23.845,4.2,TRUE,0.149759315385987
2016,"Ohio",NA,23.8136363636364,6.20454545454545,TRUE,0.206692913385827
2016,"Oklahoma",NA,20.0590909090909,6.71818181818182,TRUE,0.250891189950772
2016,"Oregon",NA,17.347619047619,4.31904761904762,TRUE,0.199340659340659
2016,"Pennsylvania",NA,18.852380952381,4.04761904761905,TRUE,0.176751923476814
2016,"Puerto Rico",NA,10.5722222222222,0.672222222222222,TRUE,0.0597826086956522
2016,"Rhode Island",NA,14.552380952381,4.15238095238095,TRUE,0.221995926680244
2016,"South Carolina",NA,20.6045454545455,4.77727272727273,TRUE,0.188216332378223
2016,"South Dakota",NA,20.11,2.98,TRUE,0.129060199220442
2016,"Tennessee",NA,23.752380952381,5.85,TRUE,0.197619239121692
2016,"Texas",NA,14.6227272727273,5,TRUE,0.254806578642576
2016,"Utah",NA,10.7363636363636,4.93181818181818,TRUE,0.314766463591529
2016,"Vermont",NA,21.42,3.945,TRUE,0.155529272619752
2016,"Virginia",NA,16.1090909090909,4.78636363636364,TRUE,0.229062432020883
2016,"Washington",NA,15.9181818181818,5.34090909090909,TRUE,0.251229420568741
2016,"West Virginia",NA,26.5578947368421,4.83684210526316,TRUE,0.15406538139145
2016,"Wisconsin",NA,18.0090909090909,5.66818181818182,TRUE,0.239393357650221
2016,"Wyoming",NA,21.4052631578947,5.7,TRUE,0.210291262135922
2017,"Alabama",25.5,23.0904761904762,5.04285714285714,TRUE,0.179248476641842
2017,"Alaska",28.8,22.8380952380952,3.62380952380952,TRUE,0.136944394457441
2017,"Arizona",29.4,15.7409090909091,5.11818181818182,TRUE,0.24536936151667
2017,"Arkansas",23.4,24.1047619047619,5.02380952380952,TRUE,0.172470165113618
2017,"California",33.6,11.7590909090909,2.83181818181818,TRUE,0.194080996884735
2017,"Colorado",41.2,15.9636363636364,5.37272727272727,TRUE,0.251810822326374
2017,"Connecticut",38.7,13.8190476190476,2.9952380952381,TRUE,0.178136505239309
2017,"Delaware",31.5,18.5,4.89090909090909,TRUE,0.20909444228527
2017,"District of Columbia",57.3,16.0238095238095,2.18571428571429,TRUE,0.120031380753138
2017,"Florida",29.7,16.5681818181818,4.34545454545455,TRUE,0.207780917191915
2017,"Georgia",30.9,17.7954545454545,4.66818181818182,TRUE,0.207810602994739
2017,"Hawaii",32.9,13.4,4.88571428571429,TRUE,0.2671875
2017,"Idaho",26.8,15.5947368421053,4.8,TRUE,0.235354838709677
2017,"Illinois",34.4,15.9047619047619,4.3047619047619,TRUE,0.213006597549482
2017,"Indiana",26.8,22.6590909090909,6.13181818181818,TRUE,0.212977581307231
2017,"Iowa",28.9,19.0809523809524,4.17619047619048,TRUE,0.17956592956593
2017,"Kansas",33.7,19.8363636363636,4.92272727272727,TRUE,0.198825041307142
2017,"Kentucky",24,26.6238095238095,6.85238095238095,TRUE,0.204694167852063
2017,"Louisiana",23.8,25.0761904761905,4.44761904761905,TRUE,0.150645161290323
2017,"Maine",32.1,19.9,4.575,TRUE,0.186925434116445
2017,"Maryland",39.7,15.3863636363636,3.34090909090909,TRUE,0.178398058252427
2017,"Massachusetts",43.4,15.2619047619048,3.38095238095238,TRUE,0.181353767560664
2017,"Michigan",29.1,21.6,5.05,TRUE,0.189493433395872
2017,"Minnesota",36.1,16.8954545454545,3.99090909090909,TRUE,0.19107725788901
2017,"Mississippi",21.9,22.815,5.205,TRUE,0.18576017130621
2017,"Missouri",29.1,21.8181818181818,5.54545454545455,TRUE,0.20265780730897
